owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0807,000,075-2020/2024-0807-000,"National Library of Medicine, National Institutes of Health",Department of Health and Human Services,,Health,Health research and training,075-0807,"National Library of Medicine, National Institutes of Health, Health and Human Services",0024,NATIONAL LIBRARY OF MEDICINE (0807),41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,55944.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0807,000,075-2020/2024-0807-000,"National Library of Medicine, National Institutes of Health",Department of Health and Human Services,,Health,Health research and training,075-0807,"National Library of Medicine, National Institutes of Health, Health and Human Services",0024,NATIONAL LIBRARY OF MEDICINE (0807),31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,140435.07,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0807,000,075-2020/2024-0807-000,"National Library of Medicine, National Institutes of Health",Department of Health and Human Services,,Health,Health research and training,075-0807,"National Library of Medicine, National Institutes of Health, Health and Human Services",0024,NATIONAL LIBRARY OF MEDICINE (0807),25.7,Operation and maintenance of equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0807,000,075-2020/2024-0807-000,"National Library of Medicine, National Institutes of Health",Department of Health and Human Services,,Health,Health research and training,075-0807,"National Library of Medicine, National Institutes of Health, Health and Human Services",0024,NATIONAL LIBRARY OF MEDICINE (0807),25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,156361.03,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0807,000,075-2020/2024-0807-000,"National Library of Medicine, National Institutes of Health",Department of Health and Human Services,,Health,Health research and training,075-0807,"National Library of Medicine, National Institutes of Health, Health and Human Services",0024,NATIONAL LIBRARY OF MEDICINE (0807),25.1,Advisory and assistance services,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,531000.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0807,000,075-2020/2024-0807-000,"National Library of Medicine, National Institutes of Health",Department of Health and Human Services,,Health,Health research and training,075-0807,"National Library of Medicine, National Institutes of Health, Health and Human Services",0024,NATIONAL LIBRARY OF MEDICINE (0807),11.8,Special personal services payments,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",63000.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0807,000,075-2020/2024-0807-000,"National Library of Medicine, National Institutes of Health",Department of Health and Human Services,,Health,Health research and training,075-0807,"National Library of Medicine, National Institutes of Health, Health and Human Services",0024,NATIONAL LIBRARY OF MEDICINE (0807),12.1,Civilian personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",7080.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0846,000,075-2020/2024-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,-399346.00,733290.33,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0862,000,075-2020/2024-0862-000,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0862,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",0010,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES (0862),25.2,Other services from non-Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",64150.60,0.00,77444.52,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0862,000,075-2020/2024-0862-000,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0862,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",0010,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES (0862),41.0,"Grants, subsidies, and contributions",D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,888499.20,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0862,000,075-2020/2024-0862-000,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0862,"National Institute of Environmental Health Sciences, National Institutes of Health, Health and Human Services",0010,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES (0862),43.0,Interest and dividends,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1.73,0.00,1.73,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0872,000,075-2020/2024-0872-000,"National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0872,"National Heart, Lung, and Blood Institute, National Institutes of Health, Health and Human Services",0002,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE (0872)",41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,3947241.06,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0875,000,075-2020/2024-0875-000,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",0028,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES (0875),25.1,Advisory and assistance services,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",510050.15,-4800.00,4827.71,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0875,000,075-2020/2024-0875-000,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",0028,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES (0875),22.0,Transportation of things,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",13900.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0875,000,075-2020/2024-0875-000,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",0028,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES (0875),41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1328303.00,0.00,1547058.51,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0875,000,075-2020/2024-0875-000,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",0028,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES (0875),25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",29524.85,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0875,000,075-2020/2024-0875-000,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",0028,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES (0875),31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1230570.84,0.00,7593.30,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0875,000,075-2020/2024-0875-000,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0875,"National Center for Advancing Translational Sciences, National Institutes of Health, Health and Human Services",0028,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES (0875),26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1351742.10,-10762.01,83669.24,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),11.3,Other than full-time permanent,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",38111.04,0.00,40420.80,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),11.8,Special personal services payments,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",114746.20,0.00,196441.98,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.7,Operation and maintenance of equipment,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",70857.45,-6563.00,12512.05,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.3,Other goods and services from Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",198009.00,0.00,445173.99,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),26.0,Supplies and materials,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",2350225.09,-130093.34,2444253.08,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",5765701.96,0.00,4841866.96,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.6,Medical care,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",129913.31,-3098.55,265645.29,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.5,Research and development contracts,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",299928.00,0.00,30778792.83,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.5,Research and development contracts,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",60469635.68,0.00,2589680.07,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),12.1,Civilian personnel benefits,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",19928.12,0.00,32213.22,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.1,Advisory and assistance services,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",298474.68,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.2,Other services from non-Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",302336.48,0.00,5284421.98,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",880031.33,0.00,749738.20,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),21.0,Travel and transportation of persons,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",7151.52,-2389.08,4736.25,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),25.1,Advisory and assistance services,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1281290.59,0.00,584745.82,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),21.0,Travel and transportation of persons,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",2335.75,0.00,1422.65,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),22.0,Transportation of things,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",31462.82,-1843.40,50741.38,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),43.0,Interest and dividends,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",795.26,0.00,795.26,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",7071299.00,0.00,20597922.38,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",21168.96,0.00,12972.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),41.0,"Grants, subsidies, and contributions",D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",10293180.00,-410277.00,29094570.49,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),31.0,Equipment,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",252218.07,-18819.09,989925.26,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0885,000,075-2020/2024-0885-000,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0885,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",0006,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES (0885),43.0,Interest and dividends,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",11.68,0.00,11.68,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0898,000,075-2020/2024-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1606000.00,0.00,154042.59,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0898,000,075-2020/2024-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),43.0,Interest and dividends,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",23.32,0.00,23.32,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0898,000,075-2020/2024-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",3178547.00,0.00,858785.39,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0898,000,075-2020/2024-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),22.0,Transportation of things,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",10115.27,-2755.23,17316.04,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0898,000,075-2020/2024-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",30714.52,0.00,42006.50,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0898,000,075-2020/2024-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",74778.15,0.00,48448.32,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0898,000,075-2020/2024-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",17073.27,0.00,36616.37,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0898,000,075-2020/2024-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),25.7,Operation and maintenance of equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,7843.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.7,Military personnel,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",334145.11,-27688.89,387666.37,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.8,Special personal services payments,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,22388.18,2021-01-28
